username,original_comment,comment,sentiment,label
armanaxl,perpanjang 10tahun lagi semangat pak🥰,perpanjang 10tahun semangat,2.3635,1
armiamiyanto,"semoga nanti kalau beneran pindah kami,masih sama seperti skrng tenang dan damai jarang terjadi tindak kriminal",semoga beneran mengubah kamimasih tenang damai jarang tindak kriminal,3.048,1
arnanissarsi,sak karepmu pk,sak karepmu,-0.0327,0
aroel_chan,"BIAR GA BISA DI PROTES DAN DIDEMO ORG2 HEBAT, KLU DI KALTIM GA ADA YG MAU PROTES KRN JARAK JAUH",biar protes didemo orang orang hebat kalimantan timur tersedia protes jarak,-0.7961,0
arohimando,kurang tepat disaat negara masih sakit,disaat pemerintah sakit,-1.6848,0
arrahman168,Ikn milik oligarki bukan rakyat indonesia,kota nusantara milik oligarki rakyat indonesia,-0.7327,0
arryfredherik,saya setuju pindah,setuju mengubah,0.3003,1
art.simare09,wow keren,keren,3.8776,1
arun_sarip,"jadi ingat waktu debat capres di TV dulu, yg ktnya mo beli kembali Indosat👍🤣",debat capres tv beli indosat,-1.3188,0
arvinghani607,saya optimistis..dan saya doakan semoga negara Indonesia semakin maju.,optimis doakan semoga pemerintah indonesia majukan,3.9015,1
arya_story0,janji gak korup,janji korupsi,-0.4416,0
aryaabp01,sehat terus bpak jokowi 🥰,sehat jokowi,4.3076,1
aryan_penangsang,gw setuju ibu kota di pindah.. duit buat pembangunan gk masalah. . toh itu kembali lagi untuk pemerataan ekonomi kalimantan Sulawesi..,setuju kota mengubah duit pembangunan pemerataan ekonomi kalimantan sulawesi,-2.1915,0
aryolome,apa kah nantinya paru paru dunia hnya akan menjadi sbuah sejarah?,kah paru paru dunia sejarah,-1.2301,0
aryputtra7,mantap pak biar Kalimantan pembangunan merata,mantap biar kalimantan pembangunan merata,1.5716,1
aryunijaya,semoga hutan kalimantan ga ditebang abiss🥺,semoga hutan kalimantan ditebang habis,-0.4126,0
asal14367777,"setuju bgt si.. pemerataan iya, trus keamanan negara juga. militer terpusat dijawa rawan banget pulau lain kena culik",setuju banget sih pemerataan iya keamanan pemerintah militer terpusat dijawa rawan banget pulau terkena culik,-2.3006,0
asarengcakkoes,"hanya orang yg bisa berfikir 10 THN kedepan pak, yg bangga terhadap kinerja bapak presiden",orang berfikir 10 kedepan bangga kinerja presiden,1.419,1
asephendrik40,LANJUT 5 PERIODE 🇮🇩🇮🇩💪💪💪👌,5 periode,-0.0327,0
asepsamsudin945,Super sekali luar biasa....👍👍👍,super,1.0642,1
ashariromansah,rencana banyak. uang g ada.,rencana uang tersedia,-1.2872,0
ashiah95,3 periode,3 periode,-0.0327,0
asihdhea1,"Dari jaman dulu siapapun presidennya kalau malas y susah. Tp x ini aku sih Yes Ama pak Jokowi. smg sehat sll pak presiden ❤️❤️, Setuju. Biar cepat pindah., apa sih bagimu yg gak mahal. cabe aja pingin murah,bensin klau bisa gratis..., Sakit hati....gak bakal sembuh....malah tambah akut.",jaman presidennya malas ya susah x yes jokowi semoga sehat presiden setuju biar cepat mengubah bagimu mahal cabe murahbensin gratis sakit hatigak sembuhmalah akut,5.9988,1
asihkurniati6,pak jokowi presiden terbaik..,jokowi presiden terbaik,2.826,1
askikers,bakal banyak polusi debu di jalan,polusi debu jalan,0.371,1
askjlpskjdjdjshdjsdkficj,"sebagai orang yang tinggal di Kaltim trus kebagian daerah ibukotanya, perubahannya masih belum terlalu lah",orang tinggal kalimantan timur kebagian wilayah kotanya perubahannya,-3.5362,0
asmara_parfume_official,udh gak ngerti lg,mengerti,-0.0327,0
asmaradjuariyah,mantap bapak presiden ku Jokowi,mantap presiden jokowi,5.5324,1
asrawiasrawi,kami sebagai rakyat tidak begitu bahagia,rakyat bahagia,1.4679,1
asrprim,bakalan MANGKRAK,mangkrak,-0.0327,0
asshy_,biar gada yang demo,biar demonstrasi,-1.1331,0
assyfa7511,Skr bukan saatnya rky masih byk yg kelaparan..,rky kelaparan,-0.0327,0
astrie_21,"😳mending mndekatkan diri kpd Tuhan n berbuat baik ke rakyat, biar dikenang pak",mndekatkan tuhan berbuat rakyat biar dikenang,-2.9282,0
astroboy_1997,hahaha DPR,hahaha dpr,-0.9524,0
aswinbaharbulhar,"Tapi kalau dijual murah ke oligarki dengan segala kemudahannya, yang untung mereka bukan rakyat Indonesia.",dijual murah oligarki kemudahannya untung rakyat indonesia,1.374,1
asy.yoib,bapakku 😍😍😍,bapakku,-0.0327,0
athaullahzaki,kalo gw setuju bgt karna emang air laut di jakarta selalu menaik,setuju banget air laut jakarta menaik,-0.6662,0
atnoclp,jokowiiii🥰🥰🥰,jokowiiii,-0.0327,0
ato_amud8,duitnya dr mana pak?,duitnya,-0.7276,0
atong.8,"gak perlu dipindah, yang penting rakyatnya dimakmurkan aja",dipindah rakyatnya dimakmurkan,1.2856,1
attaqyyat,SAYA SANGAT SETUJU PAK...UNTUK INDONESIA MAJU MEMANG HARUS ADA MENSET YG BARU...SEMOGA ALLAH MERIDLOINYA,setuju pakuntuk indonesia majukan tersedia menset barusemoga allah meridloinya,1.8305,1
aty556,"spicles mengongo saya dgn pemikiran bpk jokowi yg sangt perfect menata indonesia dgn lngkh menuju indonesia berjaya rakyat makmur sentosa,amin",spicles mengongo pemikiran jokowi sangt perfect menata indonesia lngkh indonesia berjaya rakyat makmur sentosaamin,1.7313,1
aulianisuryana,the best deh emang,the terbaik deh,-0.168,0
aumwahyudin,Asal jangan seperti Kereta Cepat membebani APBN,kereta cepat membebani anggaranan pembangunan belanja negara,-2.0809,0
aureliaberil,Semoga dilancarkan yaaa,semoga dilancarkan yaaa,5.1577,1
auroraindie,Moga lancar g mangkrak pembangunnya ya,semoga lancar mangkrak pembangunnya yah,2.8534,1
autodetailingborneo.pt,😂😂😂😂😂😂 SakarepMulah Pak,sakarepmulah,-0.0327,0
avishakenzie,ya karena jakarta datarannya lebih rendah daripada kota lain,yah jakarta datarannya rendah kota,-2.119,0
awiawipea,"Alhamdulilah,,,,Mantaps Pak",alhamdulilahmantaps,-0.0327,0
awista_2727,ngutang meneh pakde pakde,berhutang meneh pakde pakde,-0.7276,0
awpaserere,Tetap semangat Presiden Jokowi .,semangat presiden jokowi,5.2222,1
awxy.k,tai,tai,-1.9804,0
ay8721,urusin banjir di daerah dong,urusin banjir wilayah,-0.7276,0
ayahnabudax,kita harus brani kasbon,berani kasbon,-0.2168,0
ayahsardi,ngutang lagiiii,berhutang lagiiii,-0.0327,0
ayakaka19,gimana jokowi aja deh yang penting bahagia,jokowi deh bahagia,3.5663,1
ayamurri,mantap pak Prabowo membantu langkah pembangunan ibu kota baru maju pak Prabowo 👍👍👍,mantap prabowo membantu langkah pembangunan kota majukan prabowo,4.2745,1
ayu.viiolla22,buku PPKn ganti modul brarti ya 😳,buku ppkn ganti modul yah,-1.9821,0
ayudiaxcantik,Bakal makin rame dan maju lagi kalimantan khususnya ppu,ramai majukan kalimantan ppu,0.8818,1
ayudisyacandramaya,milik cina apa milik rakyat 😂😂😂,milik cina milik rakyat,0.2498,1
ayuisd,semoga Jawa tetap terurus ya 🙏🙏,semoga jawa terurus yah,-1.0021,0
ayy_noe22,Semoga Indonesia semakin maju dan berkembang,semoga indonesia majukan berkembang,2.1114,1
aziz44468,"mau jadi negara maju , kata presiden soehartoe.\nkuat kan pangan jngn import. eh skrang. boro boro pangan. malah import😆😅",pemerintah majukan presiden soehartoe kuat pangan import eh skrang boro boro pangan import,-0.444,0
aziz_semende,"kalau di dunia marketing ada ngicu ngicunya hehe, intinya bagaimana keinginan oligarki terpenuhi😂",dunia marketing tersedia ngicu ngicunya hehe intinya oligarki terpenuhi,-2.7094,0
azizshodiq59,ngapain ada katua evaluasi ketika salah malah ganti opsi???,ngapain tersedia katua evaluasi salah ganti opsi,-0.4152,0
azkaramdhan6,pasti kalo gak ada tikus tahun ini pasti Indonesia jadi negara maju,tersedia tikus indonesia pemerintah majukan,0.1853,1
azmizain01,"sya baru tau klo yg d sbut nusantara itu hnya luang lingkup yg ada d bagian kalimantan, ini sya yg bodoh apa bliau yg trlalu pintar😂",sbut Indonesia luang lingkup tersedia kalimantan bodoh bliau trlalu pintar,-4.0809,0
azrilfadillah519,"lebih baik memikirkan ekonomin, di Banding istana",memikirkan ekonomin banding istana,0.0816,1
azwinahmat,"akan kah tercapai apa yang bpk Jokowi inginkan😁, stelah penerus nya mengantikan nanti nya",kah tercapai jokowi stelah penerus nya mengantikan nya,0.2913,1
azzurrysaylendr,apakah pulau Kalimantan akan menjadi pulau kunci,pulau kalimantan pulau kunci,-0.0327,0
b021l7,gaspol bapakku,gaspol bapakku,-0.0327,0
baaaeee4,Presidenkuh Hebaaat 👍👍👍,presidenkuh hebaaat,-0.0327,0
babawolff,"Kereta cepat urus dulu, bengkak tuh",kereta cepat urus bengkak tuh,-1.7916,0
babaynurbayani,negara dijual,pemerintah dijual,-1.8279,0
baboamamo,sehat terus pak jokoowi🥰🥰,sehat jokoowi,2.3635,1
babydovy,betul setuju,setuju,0.302,1
babylunalucyluke,"pdhl blm pernah ke ibu kota jakarta pusat, udh mau di pindah aja 🙂",kota jakarta pusat mengubah,-1.4242,0
badikmia,"poko,e jokowi🥰",pokoe jokowi,1.9115,1
baeyongsaja,yang pada kepanasan mending beli kipas angin dah 😂😂😂,kepanasan beli kipas angin udah,-2.3066,0
bag_us2,awal habisnya hutan Kalimantan,habisnya hutan kalimantan,-1.6439,0
bagasaditya4332,"jokowi 3 periode, jokowi 3 periode",jokowi 3 periode jokowi 3 periode,3.8557,1
bagus.wnd,"utangnya dilunasin dulu baru bngun lahh, kasihan presiden brikutny pusing melunasi 😅",Utangnya dilunasin bngun lahh kasihan presiden brikutny pusing melunasi,-2.012,0
bahagia.banget123,"saya tidak mendukung sama sekali, krna masih bnyk permasalahan yg lbih krusial yg harusnya lbih dulu ditangani dibanding pmindahan IKN krn yg adapun b",mendukung permasalahan krusial ditangani dibanding pmindahan kota nusantara b,0.7713,1
bahagiaselalu528,betul sekali dan sangat setuju dengan visi dan misi pak jokowi yg ingin memajukan bangsa dan negara.,setuju visi misi jokowi memajukan bangsa pemerintah,3.0221,1
bahari_meliala,Sangat setuju ibukota pindah dari Jakarta.,setuju kota mengubah jakarta,-1.0894,0
bahrul_walidin,tol sumatera & rel kereta api yg udh abisin puluhan triliun skrg apa kabar pak de,tol sumatera rel kereta api abisin puluhan triliun kabar,-0.0362,0
baiqnur31,17 Agustus 2024 uoacara bendera kenegaraan dilaksanakan di Ibu Kita Baru......BRAVO PAK JOKOWI....,17 agustus 2024 uoacara bendera kenegaraan dilaksanakan barubravo jokowi,0.118,1
bajeng_tiktok,di kalimantan ada bukit hokage,kalimantan tersedia bukit hokage,-0.0327,0
bakoel_aroemmanis,ganti presiden ganti acara.\n😂😂😂😂😂,ganti presiden ganti acara,-0.0089,0
bakul_wedang_blitar,Jokowi mewujudkan impian presiden Soekarno dan mewariskan pembangunan yang siap bersaing dengan negara luar.,jokowi mewujudkan impian presiden soekarno mewariskan pembangunan bersaing pemerintah,1.4346,1
balzie13,"Setuju, utk mengurangi beban di jakarta, kl ngga akan tambah macet n banjir",setuju mengurangi beban jakarta macet banjir,-1.0877,0
bambang_cuy19,Nah yang paling penting...utang lagi bwt pindah ibu kota,pentingutang mengubah kota,-0.7293,0
bambang_pacitan,karena sepi investor jual hgb😂😂😂,sepi investor jual hgb,-1.1331,0
bambanghadipramono,ini butuh orang penerus bapak ... jangan sampai pengganti bapak orang orang kartun,butuh orang penerus pengganti orang orang kartun,-4.5419,0
bambangwahyudi1956,kalau pindah ke kalimantan orderan demo sepi,mengubah kalimantan orderan demonstrasi sepi,-0.0344,0
bandi_iki,jadi kampung jakarta,kampung jakarta,-3.5625,0
bang.arya07372,jadi ingat kata2 meroket 😂,kata2 meroket,-0.0327,0
bang_ali0604,buruan dah pindah,buruan udah mengubah,0.8715,1
bang_amut_dza,GK setuju sih ..soalnya kasih perjalanan dan perjuangan sang Jakarta...masa hrus di pindah..,setuju kasih perjalanan perjuangan sang jakartamasa mengubah,1.5098,1
bangbenzgaming,"Heran netizentot, minta negara buat lapangan pekerjaan trus minta negara supya maju tapi giliran dikembangi banyak komen utang lah dll wkwkwk",heran netizentot pemerintah lapangan pekerjaan pemerintah supya majukan giliran dikembangi komentar utang lain-lain,-2.0851,0
bangbinu7,pak Jokowi terhebat. Jokowi 3 periode 👍 amin,jokowi terhebat jokowi 3 periode Amin,7.7234,1
bangboy638,"3 priode pak Jokowi,persiden terbaik Indonesia, merinding dengarnya😁",3 periode jokowipersiden terbaik indonesia merinding dengarnya,0.1444,1
bangfitrah19amal,"ini yg kemarin saya katakan bahwa , bapak Jokowi pasti menginginkan presiden selanjutnya yg bisa melanjutkan pembangunan yg ada",kemarin jokowi presiden melanjutkan pembangunan tersedia,2.1295,1
bangjost46,presidenku,presidenku,0.8818,1
bangmadon05,buktinya ekonomi nyungsep,buktinya ekonomi jatuh,-0.5079,0
bangmail17893,"ruh negara di Jawa pulung negara juga jadikan sj kota satelit KY batam, TDK semudah itu, ada riwayat sejarah dan Wahyu yg TDK bisa digantikan dg perhitungan ekonomi roh negara itu Jawa",ruh pemerintah jawa pulung pemerintah jadikan kota satelit batam semudah tersedia riwayat sejarah wahyu digantikan perhitungan ekonomi roh pemerintah jawa,-4.4807,0
bangnapi101,WNI WAJIB BERSATU & MANDIRI UNTUK MEWUJUDKAN IKN UNTUK INDONESIA!,warga negara indonesia wajib bersatu mandiri mewujudkan kota nusantara indonesia,-2.5279,0
bangogah963,terserahhhh,terserah,-0.7276,0
bangor504,Jokowi is the best 🇮🇩,jokowi is the terbaik,1.9115,1
bangrinkyrinaldi,pak mw lamar jd Sales property di ikn dong🥺🥺,melamar sales properti kota nusantara,-0.7276,0
bangrino_,Sales properti 😂,sales properti,-0.0327,0
bangrus21,@BANG RUS 21@:GANJAR SELALU DI TERIMA RAKYAT KARENA MMG HANYA BELIAU BISA LANJUTKAN PROGRAM PAK JOKOWI 2024-2029,rus 21ganjar terima rakyat beliau lanjutkan program jokowi 20242029,6.6651,1
bangsawan307,inti agar tetap jd president gt 3 periode fgn ancaman pemindahan mimpi,inti presiden gitu 3 periode fungsional ancaman pemindahan mimpi,-0.3431,0
bangsawan9999,yg diinginkan hanya proyeknya !!,proyeknya,-0.0327,0
bangsawanma,mestinya bapak buat itu di periode pertama jadi presiden,mestinya periode presiden,0.187,1
bangyo110,setuju si emang harus pindah. kelak anak cucu kita yang bakal ngerasain 🥰,setuju sih mengubah kelak anak cucu merasakan,1.7128,1
banngilham,masih banyak rakyat yang ekonominya blum sejahtera,rakyat ekonominya sejahtera,-1.4225,0
banyubiru293,lebih baik tetap Jakarta ..karena banyak sejarah di sana,jakarta sejarah,-0.7276,0
banzai502,Saya orang jawa tidak keberatan pindah ke kalimantan biar indonesia maju sejahtera yg merata,orang jawa keberatan mengubah kalimantan biar indonesia majukan sejahtera merata,-2.3339,0
bapakjeus_,utang negara udah lunas tah??,utang pemerintah lunas yah,-2.1156,0
barat473,luar biyasa pak preside indonesia lanjutkan 3 prode,biyasa preside indonesia lanjutkan 3 prode,-0.0344,0
barcelona_barca_1,bagus sih karena jakarta menjadi ibukota dengan susunan terjelak,bagus jakarta kota susunan terjelak,-0.4309,0
barongansixtynine,"dukung selama proyeknya ga mangkrak, soalnya ini proyek jangka panjang... biar Jabodetabek ga terlalu padet lagi gaes :), puyeng pala aing berangkat-pulang kerja macet mulu :), biar orang Kalimantan juga ngerasain apa yang kita rasain di kota besar",dukung proyeknya mangkrak proyek jangka biar jabodetabek padet teman pusing kepala pergi pulang kerja macet mulu biar orang kalimantan merasakan rasain kota,-9.6166,0
bas_629,alhamdulillah Pak Jokowi..biasanya saya dari Balikpapan ke rumah samarinda 3 jam smg kalau sdh connect penuh bisa memangkas waktu sukses Pak Presiden,alhamdulillah jokowibiasanya balikpapan rumah samarinda 3 jam semoga connect penuh memangkas sukses presiden,2.5022,1
basba23,takut jadi jalan tol tempat bermain gwh,takut jalan tol bermain,-2.405,0
basrengmaniacoy,biar males demo nya 😁😁😁😅,biar males demonstrasi nya,-3.3498,0
basrenk03,"gimna nasib hutan2 dan hewan2 disna , 😌",gimna nasib hutan hewan2 disna,-0.3238,0
basthyan88,Serah luh aja wi,serah luh wi,-0.7276,0
basukiedris,10.juta lapangan kerja,sepuluh juta lapangan kerja,1.5733,1
batanggede14,Duite sopooo...😂😂😂,duit sopooo,-0.7276,0
bay_aluminium_ngawi,semangat bapak 🥰🥰🥰,semangat,2.3635,1
bayuhanggara01,gk setuju,setuju,0.302,1
bayuputu0,pindah saja Kagak Usah Dengerin Orang yang Keberatan Klw Ibu Kota Bakalan Pindah Itu orang Jawa yang nga lera Ibu Kotanya di pindahkan,mengubah dengarkan orang keberatan kota mengubah orang jawa lera kotanya pindahkan,-2.7595,0
bbq5208,jualan properti ujung2nya,jualan properti,-1.1331,0
bbt5437050,klo jangan pakai duit hutang saya setuju,pakai duit hutang setuju,-0.3946,0
bby27._,bener sumpah omongan pak jokowi semua rencana dari presiden yg pertama kan yg tau isi negara dan rahasia negara cuma pak jokowi😏,sumpah ucapan jokowi rencana presiden isi pemerintah rahasia pemerintah jokowi,2.2785,1
bbybunniez,"gpp sii, asal konser ttp dijakarta ✌🏻",sih konser jakarta,-1.6848,0
bcbali_official,presiden terbaik,presiden terbaik,0.8818,1
bebebeb125489,"saya dukung, biar ekonomi tdk berpusat di jawa doang.",dukung biar ekonomi berpusat jawa doang,-2.2385,0
bekasam3,asikkk pegawai negri sipil istana ke Kalimantan semua adem jadi JKT...😂😂😂,asyik pegawai negeri sipil istana kalimantan adem jakarta,0.6553,1
bekti374,jadi pengin liat studi kelayakannnya,lihat studi kelayakannnya,-0.7276,0
belajaraja4,Alhamdulillah Esemka sudah banyak laku ya pak 😂😂,alhamdulillah esemka laku yah,-1.5805,0
belasarah07,semoga aja lancar ya wak,semoga lancar yah wak,2.8551,1
bengkel_barokah02,saya mendukung,mendukung,0.371,1
benibeh4,ibukota baru la,kota pindah,0.8801,1
benrame26,"HANYA DIA, PAKDEKU ADALAH PRESIDEN TERBAIK YANG BERANI MENGEKSEKUSI HAL² YANG BAIK UNTUK INDONESIA🥰🥰🥰",pakdeku presiden terbaik berani mengeksekusi hal² indonesia,0.6961,1
bensam022,"Presiden hebat, berwawasan yg sangat hebat,",presiden hebat berwawasan hebat,6.9451,1
bento_ayy,"Asal hutan kalimantan gk ludes aja, kalo hutan nya ludes ya bakal tambah banjir padat juga",hutan kalimantan ludes hutan nya ludes yah banjir padat,-3.1267,0
berrykafry,"aman pasti aman,ga bakalan ada yang mau demo to😁😁",aman amanga tersedia demonstrasi to,-0.4399,0
bertolomeusunsu,"JOKOWI PRESIDEN TERBAIK YG PERNAH DI MILIKI NEGARA INDONESIA, SEHAT SELALU PAK DHE",jokowi presiden terbaik miliki pemerintah indonesia sehat dhe,4.8116,1
besvert,setuju,setuju,0.302,1
bettynelidamarpaung,"presideku kbanggaanku.trmksh kpd guru,dosen2 beliau yg tlh mndidik beliau shngga mnjdi org no 1 yg diberkati Tuhan.indonesia maju krn jokowi.",presideku kbanggaankutrmksh gurudosen2 beliau mendidik beliau shngga mnjdi orang no 1 diberkati tuhanindonesia majukan jokowi,1.9287,1
bgss129,harga sawit naik ga ya,harga sawit yah,-2.5211,0
bharatayudha123,"supaya jawanisasi dan pembangunwn ga fokus di jawa. dan jakarta juga semakin lama semakin tenggelam,buat ngurangi beban",jawanisasi pembangunwn fokus jawa jakarta tenggelambuat ngurangi beban,-0.731,0
bibmalila21,kompak selalu... saling mendukung...,kompak mendukung,1.0625,1
bidadaricantik_6052,mantap,mantap,2.6736,1
bilqisthabitha3,yahh kirain bandung gapapa lahh,yahh bandung lahh,-1.8279,0
bintanglima69id,"PENGEN KESANA,JOKOWI MEMANG LUAR BIASA,DUKUNG PRESIDEN SEUMUR HIDUP",kesanajokowi biasadukung presiden seumur hidup,2.3448,1
bintangvirgo76,IKN.. basis oligarki..IKN tempat org2 kaya..bukan utk rakyat,kota nusantara basis oligarkiikn orang orang kayabukan rakyat,-3.0369,0
birinkbreiting,dan Jokowi akan tercatat sebagai presiden pertama di indonesia yg memindahkan Ibu kota Indonesia,jokowi tercatat presiden indonesia memindahkan kota indonesia,3.7355,1
bismika_husmu,"bnr ,klo pen berubah harus berani ambil resiko👍🏻",berubah berani ambil resiko,-1.3205,0
bj_singkong,"klo dpikir,mungkin ada baiknya jga,mngingat dngan Natuna yg trus brmsalah,jdi jika dpindahkn,mungkin akn lbih terpantau.😁🙏",dipikirkan tersedia baiknya jgamngingat dngan natuna bermasalahjadi dipindahkan terpantau,1.2839,1
blanzz7,Pindah biar uang hasil alam yang pemerintah makan dari hasil Kalimantan tidak dibangun di Jawa lagi tapi dipakai bangun Kalimantan juga👍,mengubah biar uang hasil alam pemerintah makan hasil kalimantan dibangun jawa dipakai bangun kalimantan,-3.722,0
blaster_meong,Biar pembangunan tdk fokus ke pulau jawa terus.. nnti jg bnyk investor yg masuk jd gk fokus ke pulau jawa,biar pembangunan fokus pulau jawa investor masuk fokus pulau jawa,-1.4798,0
blazefore,"gua setuju,,di jkt ruwet😂😂😂\nduit APBN mubazir buat bangun jkt😂",setujudi jakarta ruwet duit anggaranan pembangunan belanja negara mubazir bangun jakarta,-5.0146,0
blueall4,bagus lah jakarta nga jadi macet lagi,bagus jakarta macet,-0.4309,0
bluebchtr,fix jakarta akan jadi pusat pembelanjaan,jakarta pusat pembelanjaan,-0.7276,0
boboboy1106,sudah nyaman nyebut ibukota jakarta,nyaman menyebut kota jakarta,-1.8296,0
boboy1505,jualan pak\nselamatkan kalimantan,jualan selamatkan kalimantan,-0.2593,0
bociiiiiiiiiiiil,tiap daerah kemenangan nya bnyk beredar impian gambar 3D dgn bermacam icon daerah masing tapi realisasi nya ngak ada yg kuat & beda hasil kerja nya?!,wilayah kemenangan nya beredar impian gambar 3d icon wilayah realisasi nya tersedia kuat beda hasil kerja nya,-1.8589,0
bocil.tengol,ABES LAH HUTAN YG RINDANG SEJUK TENANG DAMAI JADI PANAS,habis hutan rindang sejuk tenang damai panas,1.1218,1
bocil32174,cita2 dn angan2,cita-cita angan2,-0.0327,0
bocillbarbarrr,"perataan pembangunan dan kesejahteraan,",perataan pembangunan kesejahteraan,-0.0344,0
bociltoys08,udh di pindah emg jakarta jadi lbh baik ?,mengubah emang jakarta,-1.8942,0
boedi296,udah kehabisan dana,kehabisan dana,-1.6439,0
bolang_nusantara,nolak lah.mending uang itu untuk kesehatan dan pendidikan.,menolak lahmending uang kesehatan pendidikan,-0.6862,0
bolehdikosongi_0,saya tingal di samarinda.\nsaya mau tanya apakah samarinda dan daerah di kaltim masuk dalam ibu kota negara ☺🙏,tinggal samarinda samarinda wilayah kalimantan timur masuk kota pemerintah,-3.5576,0
bollaw56,IBU KOTA NUSANTARA ❤👌keren sii,kota Indonesia keren sih,2.2238,1
bomociau5588,asik pindah kita,asik mengubah,1.2166,1
boncospermanen,Auto merantau pindah kalimantan,merantau mengubah kalimantan,-0.0344,0
bonsai518,cuan,uang,-1.2872,0
bontojaya950,sy ingat mobil ASEMKA klw dengar yng ini...,mobil asemka dengar,-0.547,0
bowodwi2,"terserah bapak aja,asal bapak senang 😁",terserah ajaasal senang,1.0625,1
boy_gingsul,"tolong sejarawan, kasih masukannya. Ibu kota sdh dipindah beberapa Kali, tapi terakhir kembali ke Jakarta. Pasti ada alasan dan pertimbangan. thx 🇮🇩",tolong sejarawan kasih masukannya kota dipindah kali jakarta tersedia alasan pertimbangan terima kasih,3.5469,1
brak____,awas aja kalo dananya di korup pejabat,awas dananya korupsi pejabat,-2.9282,0
bramfunrespa,tenan PO rak..ak rak yakin blas,tenan po rakak rak blas,-0.0327,0
brandals14,indonesiaku....🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,indonesiaku,-0.0344,0
brandil76,esemka ditinggalkan .\nsdhlah..kami rakyat ingin nyaman damai dan sentausa..itu aja gk byk pmintaan,esemka ditinggalkan sdhlahkami rakyat nyaman damai sentausaitu pmintaan,0.6536,1
breba03,dan hutan kalimantan oun terkikis sedikit demi sedikit krna pembangunan dam perkembangan ibukota. siap² pemanasan global pada cuaca..,hutan kalimantan terkikis pembangunan dam perkembangan kota siap² pemanasan global cuaca,-2.119,0
bri_tzy08,bakato apak e la,bakato apak e pindah,1.575,1
brokenheart_x0x,lah konser K-Pop d jakarta pindah ke Kalimantan kali ya?😭,konser korean pop jakarta mengubah kalimantan kali yah,-2.3602,0
brqwggfffdhh,gue setuju pindah ibu kota pulau jawa yg kecil udah tdk sanggup menampung arus urbanisasi,setuju mengubah kota pulau jawa sanggup menampung arus urbanisasi,-1.4966,0
brwnsgr31_,"SEMOGA NGGAK ADA KORUPSI DI IKN, SEMOGA NGGAK ADA KORUPSI DI IKN",semoga tersedia korupsi kota nusantara semoga tersedia korupsi kota nusantara,0.2292,1
bryannanbvan,berarti artis luar kalo mau konser gabakal ke Jakarta lagi?,artis konser jakarta,-1.4225,0
bu.sri_s.pd.1,kalo punya duite..😁😂,duit,-0.7276,0
budhiadamharith,"seorang pemimpin adalah mendefinisikan realitas,kedua berterima kasih",pemimpin mendefinisikan realitaskedua berterima kasih,3.5079,1
budiquwkly,boros anggran😭,boros anggran,-0.7276,0
budisantoso2831,ambisi yg memang harus dilaksanakan mantab salam sukses pakde Jokowi,ambisi dilaksanakan mantap salam sukses pakde jokowi,8.9947,1
budisaputra752,ga percaya,percaya,0.2532,1
budisubardai,@budisubardai: #sayasiappilihanies2024\n#sayasiappilihanies2024\n#sayasiappilihanies2024\n#sayasiappilihanies2024\n#sayasiappilihanies2024,pilih anies 2024 pilih anies 2024 pilih anies 2024 pilih anies 2024 pilih anies 2024,-4.8753,0
budiwijayanto495,mantaap pak joko widodo hanya bpk yg mampu begini,mantaap joko widodo,-0.0327,0
budtres,kalau mau maju dan berubah ya harusnya mendukung. marvelous 👍,majukan berubah yah mendukung menakjubkan,-0.1041,0
bugineze72,babiiiii,babi,-1.6439,0
buhas01,"Ke depan mahasiswa kalau mau demo, biayanya mahal 😂",mahasiswa demonstrasi biayanya mahal,-1.2165,0
buiswati1,INI LAH PTESIDENKU MANTHAAAAB,presidenku mantap,3.5882,1
bujanglapuak65,asal gak da yg korupsi cepat itu pembangunan kotanya,korupsi cepat pembangunan kotanya,-2.0827,0
bukanbibitbiasa,sehat selalu bapak jokowi 😇😇😊,sehat jokowi,4.3076,1
bule955,mantap,mantap,2.6736,1
bumantara.13,ekspetasi wkwkw realitanya beda lagi huhu🥺,ekspektasi wkwkw realitanya beda huhu,-0.3221,0
bunadibunadi,"bandara kertajati mangkrak tidak berfungsi, yg diuntungkan china😂😂😂",bandara kertajati mangkrak berfungsi diuntungkan china,0.3693,1
bundaaayu,Semoga Allah SWT memunculkan Presiden yg SHOLEH😇🤲,semoga allah swt memunculkan presiden sholeh,5.3173,1
bune503,lanjut kan pak Jokowi,jokowi,1.9115,1
bungamaill,"dulu pas belajar di sd inget banget kata guru gua ibukota pindah ke kalimantan,, dan itu bener😳",pas belajar sd banget guru kota mengubah kalimantan,1.0088,1
bunnysfashion,"Saya Mendukung Pemindahan Ibu Kota Baru , Biar Perekonomian Adil Dan Merata,",mendukung pemindahan kota biar perekonomian adil merata,-1.6116,0
butskjjj,psti sih pusat ekonomy nya msih di jakarta,pusat ekonomy nya jakarta,-1.3332,0
buyutgede132,"Jakarta mau tenggelam, P Jawa banyak gempa pulau nya masih blum stabil beda dg P Kalimantan",jakarta tenggelam jawa gempa pulau nya stabil beda kalimantan,-1.9137,0
by_jj_999,mudah2an perindustrian pabrik2 tetap di jabodetabek ya pak\nbiar nusantara ntr gak padat,mudah2an perindustrian pabrik2 jabodetabek yah biar Indonesia padat,-2.5296,0
